Datetime,open,high,low,close,volume,dividends,stock splits,price_change,sentiment_score,sentiment_ewma,sma_20,sma_50,ema_12,ema_26,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_width,atr,volume_sma,volume_ratio,price_change_5,price_change_20,volatility
2023-09-05 09:30:00-04:00,188.27999877929688,189.07000732421875,187.6100006103516,188.6699981689453,12934292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.6699981689453,188.6699981689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05 10:30:00-04:00,188.6649932861328,189.6100006103516,188.2899932861328,189.1499938964844,7398289,0.0,0.0,0.0025441020416467897,0.0,0.0,0.0,0.0,188.92999585469562,188.9192267197829,0.0,0.010769134912720801,0.005982852729289334,0.004786282183431467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05 11:30:00-04:00,189.1649932861328,189.75999450683597,188.97999572753903,189.58729553222656,3666857,0.0,0.0,0.0023119304776795246,0.0,0.0,0.0,0.0,189.18654007063725,189.15925735766928,0.0,0.02728271296797402,0.014712303646783055,0.012570409321190966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05 12:30:00-04:00,189.58999633789065,189.80999755859372,189.19500732421875,189.22999572753903,3751400,0.0,0.0,-0.001884618922826431,0.0,0.0,0.0,0.0,189.2002573232541,189.17903271464786,0.0,0.02122460860624642,0.01691836901245493,0.004306239593791492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05 13:30:00-04:00,189.22999572753903,189.8800048828125,189.16000366210935,189.83999633789065,2548172,0.0,0.0,0.003223593638029376,0.0,0.0,0.0,0.0,189.37407212711855,189.33231290508772,0.0,0.0417592220308336,0.024307961176418123,0.017451260854415476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-05 14:30:00-04:00,189.84500122070312,189.9499969482422,189.47000122070312,189.5478057861328,3515932,0.0,0.0,-0.0015391411577873049,0.0,0.0,0.0,0.0,189.41629854635283,189.3754744104515,0.0,0.040824135901345926,0.028784762808424312,0.012039373092921614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00465260839405679,0.0,0.0
2023-09-05 15:30:00-04:00,189.5449981689453,189.97999572753903,189.5200042724609,189.69000244140625,4426456,0.0,0.0,0.0007501888754855024,0.0,0.0,0.0,0.0,189.47737461291715,189.43141159028673,0.0,0.04596302263041707,0.033132122095099886,0.012830900535317186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002854922349177391,0.0,0.0
2023-09-06 09:30:00-04:00,188.5200042724609,188.7350006103516,183.92999267578125,184.1699981689453,12934292,0.0,0.0,-0.029100132855794714,-0.8,-0.1314759272047251,0.0,0.0,188.36980695221666,188.58366751909293,0.0,-0.21386056687626365,-0.026224865763264354,-0.1876357011129993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028574158136880023,0.0,0.0
2023-09-06 10:30:00-04:00,184.1499938964844,184.6499938964844,183.52999877929688,184.0200042724609,9791448,0.0,0.0,-0.0008144317639988685,0.0,-0.11154924233400743,0.0,0.0,187.50926115974687,187.9072324401302,0.0,-0.39797128038333085,-0.11210013178397271,-0.28587114859935814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027532587711832313,0.0,0.0
2023-09-06 11:30:00-04:00,184.02999877929688,184.32000732421875,183.16000366210935,183.2104034423828,7041474,0.0,0.0,-0.004399526199767911,0.0,-0.09577173663533671,0.0,0.0,186.69462929303336,187.25911575121177,0.0,-0.5644864581784077,-0.21346092988653365,-0.35102552829187406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034922002862389556,0.0,0.0
2023-09-06 12:30:00-04:00,183.2100067138672,183.4199981689453,182.7700042724609,182.9154052734375,6669291,0.0,0.0,-0.001610160577142583,0.0,-0.08300988463354972,0.0,0.0,186.00312242097462,186.695735126155,0.0,-0.6926127051803803,-0.3182966004782128,-0.37431610470216753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03499064779562078,0.0,0.0
2023-09-06 13:30:00-04:00,182.91000366210935,183.1699981689453,182.1300048828125,182.63429260253903,6995038,0.0,0.0,-0.001536845245364793,0.0,-0.07250784798543376,0.0,0.0,185.40415553865196,186.1967229183689,0.0,-0.7925673797169281,-0.4201500737102023,-0.37241730600672585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037196002678352325,0.0,0.0
